discardDuplicatesBeforeUselessCards	waitForGoldenGun	chooseScrapOverUnknownShelf	maxConsecUselessUnknownShelfDraws	wins
0.618	0.524	0.894	8	351
0.742	0.984	0.705	7	147
0.295	0.372	0.463	2	591
0.569	0.355	0.547	7	573
0.826	0.857	0.282	5	465
0.207	0.501	0.327	7	610
0.334	0.767	0.317	7	540
0.618	0.176	0.744	10	514
0.221	0.468	0.366	9	588
0.471	0.414	0.292	5	620
0.446	0.309	0.812	9	480
0.38	0.916	0.846	10	254
0.227	0.061	0.645	2	554
0.219	0.104	0.854	6	436
0.747	0.172	0.016	8	646
0.792	0.414	0.5	4	606
0.511	0.741	0.983	8	213
0.131	0.453	0.769	3	526
0.001	0.489	0.382	4	612
0.475	0.462	0.687	2	527
0.584	0.075	0.139	6	641
0.037	0.286	0.886	5	420
0.818	0.655	0.347	4	562
0.764	0.794	0.242	9	526
0.752	0.057	0.535	3	624
0.042	0.278	0.472	2	633
0.239	0.706	0.432	2	542
0.286	0.206	0.189	6	619
0.808	0.325	0.745	2	513
0.262	0.557	0.449	4	587
0.735	0.855	0.442	9	440
0.088	0.829	0.883	3	329
0.333	0.14	0.621	7	579
0.459	0.963	0.004	3	279
0.269	0.507	0.452	4	587
0.656	0.87	0.098	3	471
0.542	0.08	0.15	8	644
0.836	0.349	0.182	8	628
0.825	0.744	0.827	5	375
0.389	0.925	0.888	6	218
0.144	0.775	0.708	3	467
0.804	0.149	0.988	5	279
0.473	0.139	0.78	7	509
0.089	0.456	0.764	2	508
0.086	0.957	0.86	6	188
0.259	0.502	0.154	10	585
0.062	0.022	0.402	8	645
0.197	0.385	0.169	9	649
0.09	0.628	0.112	8	608
0.791	0.596	0.996	5	211
0.706	0.282	0.43	3	598
0.762	0.826	0.973	6	187
0.162	0.893	0.313	4	442
0.849	0.217	0.239	7	630
0.29	0.062	0.667	7	566
0.115	0.983	0.438	9	203
0.081	0.514	0.809	3	468
0.801	0.221	0.458	6	602
0.95	0.211	0.165	5	655
0.646	0.663	0.743	1	464
0.361	0.015	0.923	7	355
0.795	0.174	0.812	8	480
0.213	0.888	0.363	10	447
0.101	0.974	0.122	1	219
0.122	0.271	0.203	1	641
0.443	0.674	0.423	9	554
0.977	0.037	0.097	8	642
0.793	0.689	0.382	2	530
0.08	0.447	0.751	1	493
0.477	0.031	0.579	2	594
0.45	0.454	0.023	3	619
0.662	0.825	0.168	5	520
0.112	0.393	0.538	6	589
0.362	0.251	0.307	3	615
0.395	0.418	0.769	5	481
0.442	0.894	0.632	2	372
0.026	0.644	0.97	6	278
0.374	0.829	0.997	8	184
0.597	0.406	0.259	6	618
0.163	0.537	0.159	5	628
0.633	0.963	0.312	7	238
0.097	0.111	0.07	1	641
0.241	0.577	0.914	2	349
0.995	0.021	0.612	10	568
0.762	0.39	0.524	2	564
0.749	0.982	0.978	2	72
0.423	0.764	0.91	9	267
0.138	0.099	0.043	10	650
0.48	0.35	0.017	7	618
0.135	0.187	0.672	8	550
0.038	0.663	0.679	1	494
0.193	0.666	0.448	5	556
0.435	0.121	0.273	2	617
0.341	0.574	0.42	3	582
0.912	0.305	0.417	10	586
0.56	0.355	0.593	9	602
0.791	0.515	0.682	7	495
0.231	0.005	0.167	5	645
0.973	0.338	0.256	9	614
0.916	0.976	0.101	1	199
0.725	0.691	0.58	8	529
0.382	0.519	0.502	9	600
0.971	0.109	0.034	1	629
0.446	0.416	0.265	10	604
0.506	0.569	0.069	4	607
0.565	0.798	0.381	4	491
0.541	0.129	0.434	10	587
0.998	0.248	0.735	10	532
0.12	0.153	0.641	1	561
0.429	0.847	0.747	6	403
0.182	0.525	0.674	5	546
0.889	0.706	0.63	2	497
0.467	0.572	0.962	10	257
0.454	0.762	0.84	9	374
0.659	0.386	0.651	3	544
0.212	0.571	0.271	6	618
0.95	0.55	0.954	10	299
0.827	0.921	0.413	3	357
0.978	0.921	0.347	5	359
0.732	0.74	0.79	6	389
0.764	0.311	0.811	2	458
0.023	0.182	0.368	7	628
0.904	0.734	0.634	2	481
0.265	0.103	0.343	8	608
0.141	0.077	0.096	1	638
0.956	0.788	0.042	10	515
0.141	0.83	0.304	1	497
0.503	0.896	0.375	6	391
0.954	0.051	0.022	9	635
0.541	0.301	0.67	5	548
0.116	0.698	0.724	4	492
0.063	0.662	0.79	1	449
0.412	0.348	0.536	2	545
0.928	0.08	0.752	8	513
0.47	0.633	0.065	1	575
0.043	0.63	0.677	3	527
0.501	0.953	0.437	3	298
0.035	0.363	0.195	4	633
0.193	0.632	0.439	10	578
0.898	0.911	0.132	2	394
0.581	0.81	0.387	9	509
0.929	0.974	0.267	6	217
0.897	0.612	0.63	7	490
0.343	0.935	0.298	6	370
0.268	0.048	0.007	9	663
0.275	0.128	0.627	5	573
